Time,1
2018-11-09 12:00:50,"287,420,0"
2018-11-09 12:00:51,"285,420,0"
2018-11-09 12:00:52,"294,419,0"
2018-11-09 12:00:52,"287,420,0"
2018-11-09 12:00:53,"287,420,0"
2018-11-09 12:00:54,"286,420,0"
2018-11-09 12:00:54,"286,420,0"
2018-11-09 12:00:55,"286,420,0"
2018-11-09 12:00:56,"286,420,0"
2018-11-09 12:00:57,"286,420,0"
2018-11-09 12:00:57,"286,418,0"
2018-11-09 12:00:58,"286,418,0"
2018-11-09 12:00:59,"288,418,0"
2018-11-09 12:00:59,"288,416,0"
2018-11-09 12:01:00,"288,416,0"
2018-11-09 12:01:01,"296,416,0"
2018-11-09 12:01:02,"295,415,0"
2018-11-09 12:01:02,"289,413,0"
2018-11-09 12:01:03,"292,415,0"
2018-11-09 12:01:04,"289,413,0"
2018-11-09 12:01:04,"298,412,0"
2018-11-09 12:01:05,"290,412,0"
2018-11-09 12:01:06,"290,412,0"
2018-11-09 12:01:06,"290,412,0"
2018-11-09 12:01:07,"290,412,0"
2018-11-09 12:01:08,"290,413,0"
2018-11-09 12:01:08,"290,414,0"
2018-11-09 12:01:09,"290,414,0"
2018-11-09 12:01:10,"289,414,0"
2018-11-09 12:01:10,"289,414,0"
2018-11-09 12:01:11,"289,414,0"
2018-11-09 12:01:12,"289,414,0"
2018-11-09 12:01:12,"289,413,0"
2018-11-09 12:01:13,"289,413,0"
2018-11-09 12:01:14,"289,412,0"
2018-11-09 12:01:14,"293,414,0"
2018-11-09 12:01:15,"290,410,0"
2018-11-09 12:01:16,"299,409,0"
2018-11-09 12:01:16,"300,408,0"
2018-11-09 12:01:17,"295,404,0"
2018-11-09 12:01:18,"304,402,0"
2018-11-09 12:01:18,"299,399,0"
2018-11-09 12:01:19,"309,396,0"
2018-11-09 12:01:20,"312,391,0"
2018-11-09 12:01:20,"313,385,0"
2018-11-09 12:01:21,"333,382,0"
2018-11-09 12:01:22,"341,376,0"
2018-11-09 12:01:22,"360,369,0"
2018-11-09 12:01:23,"383,362,0"
2018-11-09 12:01:24,"398,357,0"
2018-11-09 12:01:24,"401,355,0"
2018-11-09 12:01:25,"403,353,0"
2018-11-09 12:01:25,"401,352,0"
2018-11-09 12:01:26,"400,351,0"
2018-11-09 12:01:27,"400,349,0"
2018-11-09 12:01:27,"398,347,0"
2018-11-09 12:01:28,"397,347,0"
2018-11-09 12:01:29,"397,344,0"
2018-11-09 12:01:29,"398,342,0"
2018-11-09 12:01:30,"397,339,0"
2018-11-09 12:01:31,"396,336,0"
2018-11-09 12:01:31,"397,332,0"
2018-11-09 12:01:32,"398,330,0"
2018-11-09 12:01:33,"399,328,0"
2018-11-09 12:01:33,"411,323,0"
2018-11-09 12:01:34,"407,316,0"
2018-11-09 12:01:35,"421,312,0"
2018-11-09 12:01:35,"418,308,0"
2018-11-09 12:01:36,"431,305,0"
2018-11-09 12:01:37,"428,304,0"
2018-11-09 12:01:37,"431,304,0"
2018-11-09 12:01:38,"430,302,0"
2018-11-09 12:01:39,"432,302,0"
2018-11-09 12:01:39,"442,303,0"
2018-11-09 12:01:40,"444,303,0"
2018-11-09 12:01:41,"446,303,0"
2018-11-09 12:01:42,"446,303,0"
2018-11-09 12:01:42,"447,303,0"
2018-11-09 12:01:43,"447,303,0"
2018-11-09 12:01:44,"446,303,0"
2018-11-09 12:01:45,"447,303,0"
2018-11-09 12:01:45,"448,303,0"
2018-11-09 12:01:46,"448,303,0"
2018-11-09 12:01:47,"448,302,0"
2018-11-09 12:01:47,"450,302,0"
2018-11-09 12:01:48,"451,302,0"
2018-11-09 12:01:49,"452,303,0"
2018-11-09 12:01:49,"452,303,0"
2018-11-09 12:01:50,"453,303,0"
2018-11-09 12:01:51,"454,303,0"
2018-11-09 12:01:51,"455,303,0"
2018-11-09 12:01:52,"455,303,0"
2018-11-09 12:01:53,"455,303,0"
2018-11-09 12:01:53,"455,303,0"
2018-11-09 12:01:54,"456,303,0"
2018-11-09 12:01:55,"456,303,0"
2018-11-09 12:01:56,"456,303,0"
2018-11-09 12:01:56,"454,303,0"
2018-11-09 12:01:57,"454,303,0"
2018-11-09 12:01:58,"454,303,0"
2018-11-09 12:01:58,"454,303,0"
2018-11-09 12:01:59,"454,303,0"
2018-11-09 12:02:00,"454,303,0"
2018-11-09 12:02:00,"454,303,0"
2018-11-09 12:02:01,"453,303,0"
2018-11-09 12:02:02,"453,305,0"
2018-11-09 12:02:02,"453,305,0"
2018-11-09 12:02:03,"453,305,0"
2018-11-09 12:02:04,"454,307,0"
2018-11-09 12:02:04,"454,308,0"
2018-11-09 12:02:05,"454,308,0"
2018-11-09 12:02:06,"455,310,0"
2018-11-09 12:02:06,"456,309,0"
2018-11-09 12:02:07,"459,309,0"
2018-11-09 12:02:08,"461,309,0"
2018-11-09 12:02:08,"464,308,0"
2018-11-09 12:02:09,"467,308,0"
2018-11-09 12:02:10,"469,307,0"
2018-11-09 12:02:11,"472,308,0"
2018-11-09 12:02:11,"474,307,0"
2018-11-09 12:02:12,"473,307,0"
2018-11-09 12:02:13,"473,307,0"
2018-11-09 12:02:13,"473,307,0"
2018-11-09 12:02:14,"473,307,0"
2018-11-09 12:02:15,"473,307,0"
2018-11-09 12:02:15,"471,307,0"
2018-11-09 12:02:16,"471,308,0"
2018-11-09 12:02:17,"471,308,0"
2018-11-09 12:02:17,"471,308,0"
2018-11-09 12:02:18,"471,308,0"
2018-11-09 12:02:19,"470,308,0"
2018-11-09 12:02:19,"470,308,0"
2018-11-09 12:02:20,"470,308,0"
2018-11-09 12:02:21,"470,310,0"
2018-11-09 12:02:21,"470,310,0"
2018-11-09 12:02:22,"470,310,0"
2018-11-09 12:02:23,"470,310,0"
2018-11-09 12:02:23,"470,310,0"
2018-11-09 12:02:24,"470,310,0"
2018-11-09 12:02:25,"470,311,0"
2018-11-09 12:02:25,"470,310,0"
2018-11-09 12:02:26,"470,311,0"
2018-11-09 12:02:27,"470,311,0"
2018-11-09 12:02:28,"470,311,0"
2018-11-09 12:02:28,"470,312,0"
2018-11-09 12:02:29,"472,312,0"
2018-11-09 12:02:30,"472,312,0"
2018-11-09 12:02:30,"472,312,0"
2018-11-09 12:02:31,"473,312,0"
2018-11-09 12:02:32,"474,312,0"
2018-11-09 12:02:32,"474,312,0"
2018-11-09 12:02:33,"474,312,0"
2018-11-09 12:02:34,"475,312,0"
2018-11-09 12:02:35,"476,312,0"
2018-11-09 12:02:35,"477,310,0"
2018-11-09 12:02:36,"478,310,0"
2018-11-09 12:02:37,"479,310,0"
2018-11-09 12:02:37,"476,308,0"
2018-11-09 12:02:38,"480,310,0"
2018-11-09 12:02:39,"483,312,0"
2018-11-09 12:02:40,"481,308,0"
2018-11-09 12:02:40,"482,308,0"
2018-11-09 12:02:41,"483,308,0"
2018-11-09 12:02:42,"483,308,0"
2018-11-09 12:02:42,"483,307,0"
2018-11-09 12:02:43,"483,307,0"
2018-11-09 12:02:44,"483,307,0"
2018-11-09 12:02:44,"482,308,0"
2018-11-09 12:02:45,"481,308,0"
2018-11-09 12:02:46,"481,308,0"
2018-11-09 12:02:47,"481,308,0"
2018-11-09 12:02:47,"480,308,0"
2018-11-09 12:02:48,"480,308,0"
2018-11-09 12:02:49,"479,308,0"
2018-11-09 12:02:49,"479,308,0"
2018-11-09 12:02:50,"479,308,0"
2018-11-09 12:02:51,"480,308,0"
2018-11-09 12:02:51,"480,308,0"
2018-11-09 12:02:52,"480,308,0"
2018-11-09 12:02:53,"480,308,0"
2018-11-09 12:02:53,"480,308,0"
2018-11-09 12:02:54,"480,308,0"
2018-11-09 12:02:55,"480,308,0"
2018-11-09 12:02:56,"481,308,0"
2018-11-09 12:02:56,"481,308,0"
2018-11-09 12:02:57,"481,309,0"
2018-11-09 12:02:58,"481,309,0"
2018-11-09 12:02:58,"481,309,0"
2018-11-09 12:02:59,"482,309,0"
2018-11-09 12:03:00,"482,309,0"
2018-11-09 12:03:00,"482,310,0"
2018-11-09 12:03:01,"482,311,0"
2018-11-09 12:03:02,"482,311,0"
2018-11-09 12:03:02,"483,311,0"
2018-11-09 12:03:03,"483,311,0"
2018-11-09 12:03:04,"483,311,0"
2018-11-09 12:03:05,"483,312,0"
2018-11-09 12:03:05,"483,312,0"
2018-11-09 12:03:06,"483,312,0"
2018-11-09 12:03:07,"483,313,0"
2018-11-09 12:03:07,"483,313,0"
2018-11-09 12:03:08,"483,313,0"
2018-11-09 12:03:09,"483,313,0"
2018-11-09 12:03:10,"483,313,0"
2018-11-09 12:03:10,"483,313,0"
2018-11-09 12:03:11,"484,313,0"
2018-11-09 12:03:12,"484,313,0"
2018-11-09 12:03:12,"484,313,0"
2018-11-09 12:03:13,"484,313,0"
2018-11-09 12:03:14,"484,313,0"
2018-11-09 12:03:15,"484,313,0"
2018-11-09 12:03:15,"484,313,0"
2018-11-09 12:03:16,"484,313,0"
2018-11-09 12:03:17,"484,313,0"
2018-11-09 12:03:17,"484,313,0"
2018-11-09 12:03:18,"484,313,0"
2018-11-09 12:03:19,"484,313,0"
2018-11-09 12:03:20,"484,313,0"
2018-11-09 12:03:20,"484,313,0"
2018-11-09 12:03:21,"484,313,0"
2018-11-09 12:03:22,"484,313,0"
2018-11-09 12:03:22,"485,313,0"
2018-11-09 12:03:23,"485,314,0"
2018-11-09 12:03:24,"485,313,0"
2018-11-09 12:03:25,"485,314,0"
2018-11-09 12:03:25,"485,314,0"
2018-11-09 12:03:26,"485,314,0"
2018-11-09 12:03:27,"485,314,0"
2018-11-09 12:03:27,"486,314,0"
2018-11-09 12:03:28,"485,314,0"
2018-11-09 12:03:29,"486,314,0"
2018-11-09 12:03:30,"485,314,0"
2018-11-09 12:03:30,"486,314,0"
2018-11-09 12:03:31,"486,314,0"
2018-11-09 12:03:32,"485,314,0"
2018-11-09 12:03:32,"486,314,0"
2018-11-09 12:03:33,"486,314,0"
2018-11-09 12:03:34,"486,314,0"
2018-11-09 12:03:35,"486,314,0"
2018-11-09 12:03:35,"487,314,0"
2018-11-09 12:03:36,"487,314,0"
2018-11-09 12:03:37,"487,315,0"
2018-11-09 12:03:38,"487,315,0"
2018-11-09 12:03:38,"487,315,0"
2018-11-09 12:03:39,"487,315,0"
2018-11-09 12:03:40,"487,315,0"
2018-11-09 12:03:40,"487,316,0"
2018-11-09 12:03:41,"487,316,0"
2018-11-09 12:03:42,"487,316,0"
2018-11-09 12:03:43,"487,316,0"
2018-11-09 12:03:43,"487,316,0"
2018-11-09 12:03:44,"487,316,0"
2018-11-09 12:03:45,"488,316,0"
2018-11-09 12:03:45,"487,316,0"
2018-11-09 12:03:46,"488,316,0"
2018-11-09 12:03:47,"488,317,0"
2018-11-09 12:03:48,"488,316,0"
2018-11-09 12:03:48,"488,316,0"
2018-11-09 12:03:49,"488,316,0"
2018-11-09 12:03:50,"488,316,0"
2018-11-09 12:03:51,"488,317,0"
2018-11-09 12:03:51,"488,317,0"
2018-11-09 12:03:52,"488,317,0"
2018-11-09 12:03:53,"488,317,0"
2018-11-09 12:03:53,"488,317,0"
2018-11-09 12:03:54,"488,317,0"
2018-11-09 12:03:55,"488,317,0"
2018-11-09 12:03:56,"488,317,0"
2018-11-09 12:03:56,"488,317,0"
2018-11-09 12:03:57,"488,317,0"
2018-11-09 12:03:58,"488,315,0"
2018-11-09 12:03:59,"488,315,0"
2018-11-09 12:03:59,"488,315,0"
2018-11-09 12:04:00,"488,316,0"
2018-11-09 12:04:01,"488,316,0"
2018-11-09 12:04:01,"488,315,0"
2018-11-09 12:04:02,"489,316,0"
2018-11-09 12:04:03,"489,316,0"
2018-11-09 12:04:04,"489,316,0"
2018-11-09 12:04:04,"489,316,0"
2018-11-09 12:04:05,"489,316,0"
2018-11-09 12:04:06,"489,315,0"
2018-11-09 12:04:07,"489,315,0"
2018-11-09 12:04:07,"489,316,0"
2018-11-09 12:04:08,"489,317,0"
2018-11-09 12:04:09,"489,317,0"
2018-11-09 12:04:10,"489,317,0"
2018-11-09 12:04:10,"489,317,0"
2018-11-09 12:04:11,"489,316,0"
2018-11-09 12:04:12,"489,316,0"
2018-11-09 12:04:12,"489,316,0"
2018-11-09 12:04:13,"490,316,0"
2018-11-09 12:04:14,"490,316,0"
2018-11-09 12:04:15,"490,316,0"
2018-11-09 12:04:15,"490,316,0"
2018-11-09 12:04:16,"490,316,0"
2018-11-09 12:04:17,"490,316,0"
2018-11-09 12:04:17,"490,316,0"
2018-11-09 12:04:18,"490,316,0"
2018-11-09 12:04:19,"491,316,0"
2018-11-09 12:04:20,"491,316,0"
2018-11-09 12:04:20,"492,316,0"
2018-11-09 12:04:21,"492,316,0"
2018-11-09 12:04:22,"493,316,0"
2018-11-09 12:04:23,"493,316,0"
2018-11-09 12:04:23,"494,315,0"
2018-11-09 12:04:24,"494,315,0"
2018-11-09 12:04:25,"494,315,0"
2018-11-09 12:04:26,"494,315,0"
2018-11-09 12:04:26,"494,316,0"
2018-11-09 12:04:27,"494,316,0"
2018-11-09 12:04:28,"494,316,0"
2018-11-09 12:04:29,"493,316,0"
2018-11-09 12:04:29,"493,316,0"
2018-11-09 12:04:30,"492,316,0"
2018-11-09 12:04:31,"492,316,0"
2018-11-09 12:04:31,"491,316,0"
2018-11-09 12:04:32,"491,316,0"
2018-11-09 12:04:33,"491,316,0"
2018-11-09 12:04:34,"491,316,0"
2018-11-09 12:04:34,"491,316,0"
2018-11-09 12:04:35,"491,316,0"
2018-11-09 12:04:36,"491,316,0"
2018-11-09 12:04:37,"491,316,0"
2018-11-09 12:04:37,"491,316,0"
2018-11-09 12:04:38,"491,316,0"
2018-11-09 12:04:39,"491,316,0"
2018-11-09 12:04:40,"491,316,0"
2018-11-09 12:04:40,"491,316,0"
2018-11-09 12:04:41,"492,316,0"
2018-11-09 12:04:42,"492,316,0"
2018-11-09 12:04:43,"492,316,0"
2018-11-09 12:04:43,"492,316,0"
2018-11-09 12:04:44,"492,317,0"
2018-11-09 12:04:45,"492,317,0"
2018-11-09 12:04:45,"492,316,0"
2018-11-09 12:04:46,"492,317,0"
2018-11-09 12:04:47,"492,317,0"
2018-11-09 12:04:48,"492,317,0"
2018-11-09 12:04:48,"492,317,0"
2018-11-09 12:04:49,"492,317,0"
2018-11-09 12:04:50,"492,317,0"
2018-11-09 12:04:51,"493,317,0"
2018-11-09 12:04:51,"492,318,0"
2018-11-09 12:04:52,"494,318,0"
2018-11-09 12:04:53,"493,318,0"
2018-11-09 12:04:53,"494,318,0"
2018-11-09 12:04:54,"494,318,0"
2018-11-09 12:04:55,"494,318,0"
2018-11-09 12:04:56,"494,318,0"
2018-11-09 12:04:56,"494,318,0"
2018-11-09 12:04:57,"494,318,0"
2018-11-09 12:04:58,"494,318,0"
2018-11-09 12:04:59,"494,318,0"
2018-11-09 12:04:59,"494,318,0"
2018-11-09 12:05:00,"494,318,0"
2018-11-09 12:05:01,"494,318,0"
2018-11-09 12:05:01,"494,318,0"
2018-11-09 12:05:02,"494,318,0"
2018-11-09 12:05:03,"494,318,0"
2018-11-09 12:05:04,"494,318,0"
2018-11-09 12:05:04,"494,318,0"
2018-11-09 12:05:05,"494,318,0"
2018-11-09 12:05:06,"494,318,0"
2018-11-09 12:05:07,"494,318,0"
2018-11-09 12:05:07,"494,318,0"
2018-11-09 12:05:08,"494,318,0"
2018-11-09 12:05:09,"494,318,0"
2018-11-09 12:05:10,"494,318,0"
2018-11-09 12:05:10,"494,318,0"
2018-11-09 12:05:11,"494,318,0"
2018-11-09 12:05:12,"494,318,0"
2018-11-09 12:05:13,"494,318,0"
2018-11-09 12:05:13,"494,318,0"
2018-11-09 12:05:14,"494,318,0"
2018-11-09 12:05:15,"494,318,0"
2018-11-09 12:05:16,"494,318,0"
2018-11-09 12:05:16,"494,318,0"
2018-11-09 12:05:17,"495,318,0"
2018-11-09 12:05:18,"495,318,0"
2018-11-09 12:05:18,"495,318,0"
2018-11-09 12:05:19,"496,319,0"
2018-11-09 12:05:20,"495,319,0"
2018-11-09 12:05:21,"496,319,0"
2018-11-09 12:05:21,"495,319,0"
2018-11-09 12:05:22,"496,319,0"
2018-11-09 12:05:23,"496,319,0"
2018-11-09 12:05:24,"496,319,0"
2018-11-09 12:05:24,"496,319,0"
2018-11-09 12:05:25,"496,319,0"
2018-11-09 12:05:26,"496,319,0"
2018-11-09 12:05:27,"496,319,0"
2018-11-09 12:05:27,"496,319,0"
2018-11-09 12:05:28,"496,319,0"
2018-11-09 12:05:29,"496,320,0"
2018-11-09 12:05:30,"496,320,0"
2018-11-09 12:05:30,"496,321,0"
2018-11-09 12:05:31,"496,320,0"
2018-11-09 12:05:32,"496,320,0"
2018-11-09 12:05:33,"496,321,0"
2018-11-09 12:05:33,"496,320,0"
2018-11-09 12:05:34,"496,320,0"
2018-11-09 12:05:35,"496,320,0"
2018-11-09 12:05:36,"496,320,0"
2018-11-09 12:05:36,"496,321,0"
2018-11-09 12:05:37,"496,321,0"
2018-11-09 12:05:38,"496,321,0"
2018-11-09 12:05:39,"496,321,0"
2018-11-09 12:05:39,"496,321,0"
2018-11-09 12:05:40,"496,321,0"
2018-11-09 12:05:41,"496,321,0"
2018-11-09 12:05:42,"496,321,0"
2018-11-09 12:05:42,"496,321,0"
2018-11-09 12:05:43,"497,321,0"
2018-11-09 12:05:44,"496,321,0"
2018-11-09 12:05:45,"497,321,0"
2018-11-09 12:05:45,"497,321,0"
2018-11-09 12:05:46,"497,321,0"
2018-11-09 12:05:47,"496,321,0"
2018-11-09 12:05:48,"496,321,0"
2018-11-09 12:05:48,"496,321,0"
2018-11-09 12:05:49,"496,321,0"
2018-11-09 12:05:50,"496,321,0"
2018-11-09 12:05:51,"496,321,0"
2018-11-09 12:05:51,"497,321,0"
2018-11-09 12:05:52,"497,321,0"
2018-11-09 12:05:53,"496,321,0"
2018-11-09 12:05:54,"497,321,0"
2018-11-09 12:05:54,"496,321,0"
2018-11-09 12:05:55,"496,321,0"
2018-11-09 12:05:56,"497,321,0"
2018-11-09 12:05:57,"496,321,0"
2018-11-09 12:05:58,"497,321,0"
2018-11-09 12:05:58,"497,321,0"
2018-11-09 12:05:59,"497,321,0"
2018-11-09 12:06:00,"498,321,0"
2018-11-09 12:06:01,"498,321,0"
2018-11-09 12:06:01,"498,321,0"
2018-11-09 12:06:02,"498,322,0"
2018-11-09 12:06:03,"498,322,0"
2018-11-09 12:06:04,"498,322,0"
2018-11-09 12:06:04,"498,322,0"
2018-11-09 12:06:05,"498,322,0"
2018-11-09 12:06:06,"498,322,0"
2018-11-09 12:06:07,"498,322,0"
2018-11-09 12:06:07,"498,322,0"
2018-11-09 12:06:08,"498,322,0"
2018-11-09 12:06:09,"499,322,0"
2018-11-09 12:06:09,"499,322,0"
2018-11-09 12:06:10,"499,322,0"
2018-11-09 12:06:11,"499,322,0"
2018-11-09 12:06:12,"499,322,0"
2018-11-09 12:06:12,"499,323,0"
2018-11-09 12:06:13,"499,323,0"
2018-11-09 12:06:14,"499,323,0"
2018-11-09 12:06:15,"499,322,0"
2018-11-09 12:06:15,"499,322,0"
2018-11-09 12:06:16,"499,323,0"
2018-11-09 12:06:17,"499,323,0"
2018-11-09 12:06:18,"499,323,0"
2018-11-09 12:06:18,"499,322,0"
2018-11-09 12:06:19,"499,322,0"
2018-11-09 12:06:20,"499,322,0"
2018-11-09 12:06:21,"499,322,0"
2018-11-09 12:06:22,"499,323,0"
2018-11-09 12:06:22,"499,323,0"
2018-11-09 12:06:23,"499,322,0"
2018-11-09 12:06:24,"499,323,0"
2018-11-09 12:06:25,"500,323,0"
2018-11-09 12:06:25,"499,323,0"
2018-11-09 12:06:26,"500,323,0"
2018-11-09 12:06:27,"499,323,0"
2018-11-09 12:06:28,"499,323,0"
2018-11-09 12:06:28,"499,323,0"
2018-11-09 12:06:29,"500,323,0"
2018-11-09 12:06:30,"500,323,0"
2018-11-09 12:06:31,"501,323,0"
